VOID	AcctName	DateOfAffiliation
100	ale.johnson.509	2014-11-07
100	amy.floyd.618	2012-08-01
100	amy.garcia.871	2011-12-09
100	amy.henderson.224	2017-06-24
100	ang.hopkins.264	2022-06-07
100	ant.dennis.856	2020-08-17
100	ant.fleming.613	2013-10-02
100	ash.robinson.400	2013-11-27
100	ben.turner.392	2018-10-18
100	chr.rose.465	2013-08-22
100	cor.jr..320	2021-05-02
100	cry.davis.502	2016-08-24
100	dan.hayes.093	2017-11-04
100	dav.lloyd.779	2021-06-08
100	dav.ryan.302	2018-09-28
100	daw.davis.370	2013-01-14
100	dr..espinoza.407	2012-05-14
100	dyl.romero.144	2013-05-21
100	eli.dawson.093	2012-04-15
100	eri.lopez.817	2013-03-28
100	ger.riley.934	2014-06-04
100	hea.baldwin.164	2013-07-30
100	jam.johnson.153	2015-07-17
100	jam.terrell.239	2011-03-18
100	jas.keith.832	2019-07-24
100	jen.huerta.328	2011-12-27
100	jer.rollins.740	2022-09-14
100	jil.payne.892	2020-01-25
100	jos.garcia.375	2013-06-21
100	kar.carroll.734	2018-05-27
100	ker.mullen.690	2015-03-13
100	kri.edwards.715	2017-05-13
100	lar.banks.335	2022-09-07
100	log.edwards.500	2015-02-10
100	mar.gonzales.971	2016-12-05
100	mel.acevedo.523	2016-02-18
100	mic.case.027	2019-01-27
100	mic.reynolds.319	2019-02-06
100	mic.thompson.255	2019-10-30
100	mic.woods.516	2021-01-29
100	mig.brown.544	2018-06-02
100	mit.diaz.120	2013-04-16
100	mit.haynes.006	2020-10-30
100	mon.barber.526	2013-06-23
100	mr..ferguson.506	2014-02-04
100	nic.sherman.130	2016-03-05
100	phi.wilson.040	2013-11-23
100	reg.hughes.236	2016-11-22
100	rob.valenzuela.589	2011-04-28
100	san.wallace.423	2012-08-26
100	vic.weaver.575	2021-06-23
100	wya.martinez.388	2012-03-03
102	ale.johnson.509	2013-01-31
102	amy.garcia.871	2019-03-09
102	amy.henderson.224	2017-11-20
102	ang.hopkins.264	2017-06-19
102	ant.dennis.856	2016-11-30
102	ant.fleming.613	2020-10-13
102	ash.robinson.400	2014-05-06
102	cas.duran.250	2021-03-19
102	chr.rose.465	2022-12-08
102	cor.jr..320	2018-09-05
102	cou.brooks.739	2015-01-26
102	cry.davis.502	2019-09-30
102	dav.lloyd.779	2022-06-26
102	dav.ryan.302	2012-06-03
102	dr..espinoza.407	2019-12-09
102	dyl.romero.144	2021-10-09
102	eli.dawson.093	2013-11-26
102	eri.lopez.817	2021-09-18
102	ger.riley.934	2019-04-13
102	hea.baldwin.164	2020-06-30
102	jam.evans.413	2017-11-20
102	jam.johnson.153	2012-06-12
102	jam.terrell.239	2022-02-15
102	jas.keith.832	2020-05-08
102	jas.morton.077	2019-03-13
102	jen.campbell.340	2019-04-30
102	jen.huerta.328	2020-11-25
102	jer.rollins.740	2019-01-12
102	jil.payne.892	2016-11-13
102	joh.coleman.076	2017-04-06
102	kar.carroll.734	2013-03-18
102	ker.mullen.690	2013-01-12
102	kri.edwards.715	2014-01-01
102	lar.banks.335	2014-03-09
102	log.edwards.500	2014-05-24
102	lyn.tate.654	2013-02-21
102	mel.acevedo.523	2012-10-05
102	mic.case.027	2015-12-10
102	mic.reynolds.319	2016-11-11
102	mic.thompson.255	2017-04-25
102	mic.woods.516	2012-09-29
102	mig.brown.544	2013-10-25
102	mit.diaz.120	2013-12-12
102	mit.haynes.006	2017-03-16
102	mon.barber.526	2012-08-04
102	mr..ferguson.506	2014-09-21
102	nic.horn.309	2020-09-28
102	nic.sherman.130	2017-10-04
102	phi.wilson.040	2020-04-03
102	reg.hughes.236	2018-01-14
102	rob.valenzuela.589	2021-10-12
102	san.wallace.423	2019-08-15
102	vic.weaver.575	2017-05-16
102	wya.martinez.388	2018-09-18
106	ale.johnson.509	2019-01-18
106	amy.floyd.618	2013-02-11
106	amy.garcia.871	2017-08-02
106	amy.henderson.224	2020-10-30
106	ang.hopkins.264	2013-03-14
106	ant.dennis.856	2013-09-28
106	ash.robinson.400	2015-05-21
106	ben.turner.392	2019-10-21
106	cas.duran.250	2022-07-08
106	chr.rose.465	2013-09-05
106	cor.jr..320	2016-07-01
106	cou.brooks.739	2022-11-03
106	cry.davis.502	2022-06-18
106	dan.hayes.093	2015-10-02
106	dav.lloyd.779	2021-04-29
106	dav.ryan.302	2021-11-28
106	daw.davis.370	2012-03-20
106	dr..espinoza.407	2018-02-28
106	dyl.romero.144	2012-11-19
106	eli.dawson.093	2019-08-24
106	ger.riley.934	2016-05-18
106	hea.baldwin.164	2022-06-14
106	jam.evans.413	2012-08-09
106	jam.johnson.153	2014-07-26
106	jam.terrell.239	2011-05-18
106	jas.keith.832	2021-06-11
106	jas.morton.077	2018-06-13
106	jen.campbell.340	2015-07-26
106	jen.huerta.328	2020-04-12
106	jer.rollins.740	2015-10-06
106	jil.payne.892	2014-09-26
106	joh.coleman.076	2017-11-15
106	jos.garcia.375	2015-12-13
106	kar.carroll.734	2015-05-21
106	ker.mullen.690	2015-11-02
106	kri.edwards.715	2011-07-27
106	lar.banks.335	2017-07-19
106	log.edwards.500	2014-03-22
106	lyn.tate.654	2011-11-02
106	mar.gonzales.971	2012-12-15
106	mel.acevedo.523	2015-09-08
106	mic.case.027	2016-03-10
106	mic.reynolds.319	2012-11-11
106	mic.thompson.255	2022-05-14
106	mic.woods.516	2017-09-24
106	mig.brown.544	2011-02-02
106	mit.diaz.120	2013-06-30
106	mit.haynes.006	2016-11-17
106	mon.barber.526	2011-06-12
106	mr..ferguson.506	2015-07-17
106	nic.horn.309	2021-10-27
106	nic.sherman.130	2013-04-14
106	phi.wilson.040	2011-01-06
106	reg.hughes.236	2020-01-23
106	rob.valenzuela.589	2022-05-23
106	san.wallace.423	2013-03-27
106	vic.weaver.575	2021-11-28
106	wya.martinez.388	2016-02-04
107	ale.johnson.509	2018-09-28
107	amy.floyd.618	2012-03-15
107	amy.garcia.871	2011-10-22
107	amy.henderson.224	2013-03-07
107	ang.hopkins.264	2016-09-14
107	ant.dennis.856	2016-01-02
107	ash.robinson.400	2020-06-21
107	ben.turner.392	2015-04-18
107	cas.duran.250	2014-06-15
107	chr.rose.465	2013-07-27
107	cor.jr..320	2015-09-24
107	cou.brooks.739	2014-07-13
107	cry.davis.502	2011-06-06
107	dan.hayes.093	2015-12-11
107	dav.lloyd.779	2016-08-07
107	dav.ryan.302	2017-09-11
107	daw.davis.370	2022-05-15
107	dr..espinoza.407	2018-06-22
107	dyl.romero.144	2011-02-21
107	eli.dawson.093	2020-08-16
107	ger.riley.934	2016-11-12
107	hea.baldwin.164	2018-06-28
107	jam.evans.413	2016-08-03
107	jam.johnson.153	2020-09-09
107	jam.terrell.239	2013-08-28
107	jas.keith.832	2013-08-01
107	jas.morton.077	2015-08-25
107	jen.campbell.340	2018-12-25
107	jen.huerta.328	2013-10-03
107	jer.rollins.740	2015-12-23
107	jil.payne.892	2015-01-23
107	joh.coleman.076	2016-11-12
107	jos.garcia.375	2021-08-24
107	kar.carroll.734	2014-06-21
107	ker.mullen.690	2018-06-30
107	kri.edwards.715	2019-12-09
107	lar.banks.335	2012-04-28
107	log.edwards.500	2022-12-13
107	lyn.tate.654	2022-07-20
107	mar.gonzales.971	2011-10-24
107	mel.acevedo.523	2016-12-04
107	mic.case.027	2021-09-06
107	mic.reynolds.319	2022-07-11
107	mic.thompson.255	2015-03-11
107	mic.woods.516	2020-10-14
107	mig.brown.544	2015-05-24
107	mit.diaz.120	2014-09-02
107	mit.haynes.006	2018-08-12
107	mon.barber.526	2011-12-03
107	mr..ferguson.506	2022-11-09
107	nic.horn.309	2021-12-27
107	nic.sherman.130	2021-10-03
107	phi.wilson.040	2015-09-27
107	reg.hughes.236	2011-01-30
107	rob.valenzuela.589	2017-04-24
107	san.wallace.423	2021-08-07
107	vic.weaver.575	2013-10-09
107	wya.martinez.388	2013-05-09
108	ale.johnson.509	2021-03-08
108	amy.floyd.618	2014-10-24
108	amy.garcia.871	2018-12-09
108	amy.henderson.224	2019-03-19
108	ang.hopkins.264	2015-05-14
108	ant.dennis.856	2017-06-02
108	ash.robinson.400	2017-04-24
108	ben.turner.392	2014-12-24
108	cas.duran.250	2014-06-25
108	chr.rose.465	2018-09-30
108	cor.jr..320	2022-06-21
108	cou.brooks.739	2013-02-24
108	cry.davis.502	2021-05-25
108	dan.hayes.093	2011-09-22
108	dav.lloyd.779	2017-12-25
108	dav.ryan.302	2018-04-13
108	daw.davis.370	2019-12-29
108	dr..espinoza.407	2013-11-01
108	dyl.romero.144	2020-10-23
108	eli.dawson.093	2012-12-10
108	ger.riley.934	2015-09-17
108	hea.baldwin.164	2018-12-21
108	jam.evans.413	2015-03-12
108	jam.johnson.153	2020-01-16
108	jam.terrell.239	2017-12-11
108	jas.keith.832	2013-03-18
108	jas.morton.077	2019-03-23
108	jen.campbell.340	2017-10-16
108	jen.huerta.328	2015-12-02
108	jer.rollins.740	2011-11-03
108	jil.payne.892	2011-03-14
108	joh.coleman.076	2013-07-05
108	jos.garcia.375	2014-01-20
108	kar.carroll.734	2013-09-30
108	ker.mullen.690	2015-10-12
108	kri.edwards.715	2015-08-05
108	lar.banks.335	2015-10-25
108	log.edwards.500	2018-06-19
108	lyn.tate.654	2012-12-22
108	mar.gonzales.971	2012-03-18
108	mel.acevedo.523	2013-03-11
108	mic.case.027	2013-03-27
108	mic.reynolds.319	2022-06-11
108	mic.thompson.255	2011-08-07
108	mic.woods.516	2019-07-08
108	mig.brown.544	2021-01-26
108	mit.diaz.120	2018-01-29
108	mit.haynes.006	2018-09-08
108	mon.barber.526	2021-08-01
108	mr..ferguson.506	2019-09-15
108	nic.horn.309	2022-08-03
108	nic.sherman.130	2014-10-25
108	phi.wilson.040	2018-12-16
108	reg.hughes.236	2012-06-10
