AcctName	VOID	name	Date
chr.rose.465	100	Certificate of Appreciation	2021-08-17
ker.mullen.690	100	Certificate of Appreciation	2021-10-16
ant.dennis.856	100	Certificate of Appreciation	2021-12-07
cry.davis.502	100	Certificate of Appreciation	2022-01-07
dyl.romero.144	100	Certificate of Appreciation	2022-01-07
mic.woods.516	100	Certificate of Appreciation	2022-02-16
ger.riley.934	100	Certificate of Appreciation	2022-04-07
eri.lopez.817	100	Certificate of Appreciation	2022-06-15
vic.weaver.575	100	Certificate of Appreciation	2022-06-15
ben.turner.392	100	Certificate of Appreciation	2022-07-16
mic.case.027	100	Certificate of Appreciation	2022-07-16
mig.brown.544	100	Certificate of Appreciation	2022-07-16
mon.barber.526	100	Certificate of Appreciation	2022-07-16
san.wallace.423	100	Certificate of Appreciation	2022-07-16
mr..ferguson.506	100	Certificate of Appreciation	2022-09-08
ben.turner.392	100	Certificate of Appreciation	2022-10-07
eli.dawson.093	100	Certificate of Appreciation	2022-10-07
kar.carroll.734	100	Certificate of Appreciation	2022-10-07
mig.brown.544	100	Certificate of Appreciation	2022-11-08
eli.dawson.093	100	Certificate of Appreciation	2022-12-06
mic.thompson.255	100	Certificate of Appreciation	2022-12-06
jen.huerta.328	100	Certificate of Appreciation	2023-01-07
dav.lloyd.779	100	Certificate of Appreciation	2023-03-15
cry.davis.502	100	Certificate of Appreciation	2023-04-06
jen.huerta.328	100	Certificate of Appreciation	2023-04-06
kri.edwards.715	100	Certificate of Appreciation	2023-04-06
mic.case.027	100	Certificate of Appreciation	2023-04-06
dyl.romero.144	100	Certificate of Appreciation	2023-05-17
jam.johnson.153	100	Certificate of Appreciation	2023-05-17
mar.gonzales.971	100	Certificate of Appreciation	2023-05-17
mr..ferguson.506	100	Certificate of Appreciation	2023-05-17
phi.wilson.040	100	Certificate of Appreciation	2023-05-17
ale.johnson.509	100	Certificate of Appreciation	2023-06-15
ben.turner.392	100	Certificate of Appreciation	2023-06-15
chr.rose.465	100	Certificate of Appreciation	2023-06-15
jas.keith.832	100	Certificate of Appreciation	2023-06-15
mit.diaz.120	100	Certificate of Appreciation	2023-06-15
nic.sherman.130	100	Certificate of Appreciation	2023-06-15
vic.weaver.575	100	Certificate of Appreciation	2023-06-15
wya.martinez.388	100	Certificate of Appreciation	2023-06-15
amy.henderson.224	100	Certificate of Appreciation	2023-07-06
dan.hayes.093	100	Certificate of Appreciation	2023-07-06
jam.johnson.153	100	Certificate of Appreciation	2023-07-06
log.edwards.500	100	Certificate of Appreciation	2023-07-06
mic.thompson.255	100	Certificate of Appreciation	2023-07-06
dav.lloyd.779	100	Certificate of Appreciation	2023-08-07
ger.riley.934	100	Certificate of Appreciation	2023-08-07
jos.garcia.375	100	Certificate of Appreciation	2023-08-07
mon.barber.526	100	Certificate of Appreciation	2023-08-07
reg.hughes.236	100	Certificate of Appreciation	2023-08-07
ale.johnson.509	100	Certificate of Appreciation	2023-09-15
log.edwards.500	100	Certificate of Appreciation	2023-09-15
amy.henderson.224	100	Certificate of Appreciation	2023-10-16
jen.huerta.328	100	Certificate of Appreciation	2023-10-16
mit.haynes.006	100	Certificate of Appreciation	2023-10-16
ant.dennis.856	100	Certificate of Appreciation	2023-11-08
dan.hayes.093	100	Certificate of Appreciation	2023-11-08
ger.riley.934	100	Certificate of Appreciation	2023-11-08
mic.woods.516	100	Certificate of Appreciation	2023-11-08
mon.barber.526	100	Certificate of Appreciation	2023-11-08
amy.floyd.618	100	Certificate of Appreciation	2023-12-15
lar.banks.335	100	Certificate of Appreciation	2023-12-15
