VOID	CreateDateTime	StartDate	EndDate	Message	IsPublic	Name	Date
100	2020-01-08 12:31:35	2020-01-09	2021-05-09	important preliminary of Paws for a Cause	1	Paws for a Cause	2021-05-09
100	2020-01-12 12:48:57	2020-01-13	2021-08-28	rolling of SMU Host Programme	1	SMU Host Programme	2021-08-28
100	2020-02-19 15:57:08	2020-02-19	2023-02-04	important preliminary of Helping Hands	1	Helping Hands	2023-02-04
100	2020-02-23 11:45:38	2020-02-25	2021-05-01	rolling of Singapore International Martial Arts Tournament	1	Singapore International Martial Arts Tournament	2021-05-01
100	2020-04-19 13:14:02	2020-04-21	2022-01-08	get preprared for the upcoming World Water Day	0	World Water Day	2022-01-08
100	2020-05-08 09:09:44	2020-05-10	2022-06-22	rolling of Pendeza	1	Pendeza	2022-06-22
100	2020-06-15 15:28:19	2020-06-17	2022-12-09	rolling of Hands-on workshops	1	Hands-on workshops	2022-12-09
100	2020-06-17 12:56:45	2020-06-18	2021-02-13	rolling of Annual SMU Basketball Alumni and Corporate Networking Events	1	Annual SMU Basketball Alumni and Corporate Networking Events	2021-02-13
100	2020-07-18 09:05:49	2020-07-20	2022-01-28	rolling of Kidleidoscope 	1	Kidleidoscope 	2022-01-28
100	2020-07-26 17:43:15	2020-07-26	2021-06-16	get preprared for the upcoming starringSMU	1	starringSMU	2021-06-16
100	2020-09-23 11:39:23	2020-09-25	2021-09-24	important preliminary of SPLASH!	1	SPLASH!	2021-09-24
100	2020-11-03 09:57:51	2020-11-05	2021-01-06	rolling of SMU Dragon Battle	1	SMU Dragon Battle	2021-01-06
100	2021-02-23 11:03:29	2021-02-25	2023-01-19	get preprared for the upcoming Vegan Picnic	1	Vegan Picnic	2023-01-19
100	2021-04-19 14:36:23	2021-04-20	2021-12-25	get preprared for the upcoming Martial Mayhem	1	Martial Mayhem	2021-12-25
100	2021-07-23 13:48:28	2021-07-24	2021-07-25	get preprared for the upcoming INSPIRAR	1	INSPIRAR	2021-07-25
100	2021-12-13 15:35:44	2021-12-14	2021-12-25	rolling of Road Series rideouts	1	Road Series rideouts	2021-12-25
100	2022-01-31 15:01:22	2022-02-01	2023-09-23	get preprared for the upcoming Old But Gold	0	Old But Gold	2023-09-23
100	2022-02-22 12:55:36	2022-02-23	2023-07-26	important preliminary of Paddle to the Bay	1	Paddle to the Bay	2023-07-26
100	2022-03-03 13:49:44	2022-03-05	2022-04-21	important preliminary of Annual Pedal x Paddle	1	Annual Pedal x Paddle	2022-04-21
100	2022-04-30 12:11:45	2022-04-30	2022-06-16	important preliminary of Teambuilding at the Beach With Plastic, Trash and Garbage Bags	1	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16
100	2022-08-24 12:29:44	2022-08-26	2023-05-29	rolling of SMU Buddy Programme	1	SMU Buddy Programme	2023-05-29
107	2020-05-28 13:15:38	2020-05-29	2021-09-24	important preliminary of SPLASH!	1	SPLASH!	2021-09-24
107	2020-10-18 11:18:24	2020-10-20	2021-01-06	get preprared for the upcoming SMU Dragon Battle	0	SMU Dragon Battle	2021-01-06
108	2022-07-10 16:09:46	2022-07-10	2022-12-23	personnel transfer notification	0	\N	\N
111	2021-03-27 11:46:34	2021-03-27	2023-03-06	rolling of Bandaging Workshop	1	Bandaging Workshop	2023-03-06
112	2020-05-17 14:49:07	2020-05-17	2021-05-09	important preliminary of Paws for a Cause	1	Paws for a Cause	2021-05-09
