VOID	AcctName	Name	Date	Accepted	Complete	NumHrs
100	ale.johnson.509	Annual Nite Bike	2021-08-19	1	1	12
100	ale.johnson.509	Annual Pedal x Paddle	2022-04-21	1	1	7
100	ale.johnson.509	Hands-on workshops	2022-12-09	\N	\N	\N
100	ale.johnson.509	Helping Hands	2023-02-04	1	0	\N
100	ale.johnson.509	Howl-O-Ween	2021-02-21	1	1	9
100	ale.johnson.509	Old But Gold	2023-09-23	1	0	\N
100	ale.johnson.509	Paddle to the Bay	2023-07-26	\N	\N	\N
100	ale.johnson.509	Pendeza	2022-06-22	1	0	\N
100	ale.johnson.509	Road Series rideouts	2021-12-25	1	1	15
100	ale.johnson.509	Singapore International Martial Arts Tournament	2021-05-01	1	1	15
100	ale.johnson.509	SMU Buddy Programme	2023-05-29	1	0	\N
100	ale.johnson.509	SMU Host Programme	2021-08-28	\N	\N	\N
100	ale.johnson.509	World Water Day	2022-01-08	1	1	9
100	amy.floyd.618	Annual Nite Bike	2021-08-19	\N	\N	\N
100	amy.floyd.618	Annual Pedal x Paddle	2022-04-21	\N	\N	\N
100	amy.floyd.618	Hands-on workshops	2022-12-09	1	0	\N
100	amy.floyd.618	Helping Hands	2023-02-04	1	1	16
100	amy.floyd.618	Howl-O-Ween	2021-02-21	1	1	2
100	amy.floyd.618	Martial Mayhem	2021-12-25	1	0	\N
100	amy.floyd.618	Old But Gold	2023-09-23	1	0	\N
100	amy.floyd.618	Paddle to the Bay	2023-07-26	1	0	\N
100	amy.floyd.618	Pendeza	2022-06-22	\N	\N	\N
100	amy.floyd.618	Singapore International Martial Arts Tournament	2021-05-01	1	0	\N
100	amy.floyd.618	SMU Buddy Programme	2023-05-29	1	0	\N
100	amy.floyd.618	SMU Host Programme	2021-08-28	\N	\N	\N
100	amy.floyd.618	World Water Day	2022-01-08	1	0	\N
100	amy.garcia.871	Annual Nite Bike	2021-08-19	0	\N	\N
100	amy.garcia.871	Annual Pedal x Paddle	2022-04-21	1	1	4
100	amy.garcia.871	Hands-on workshops	2022-12-09	1	0	\N
100	amy.garcia.871	INSPIRAR	2021-07-25	1	0	\N
100	amy.garcia.871	Old But Gold	2023-09-23	1	0	\N
100	amy.garcia.871	Paddle to the Bay	2023-07-26	1	0	\N
100	amy.garcia.871	Pendeza	2022-06-22	1	1	4
100	amy.garcia.871	Road Series rideouts	2021-12-25	1	1	7
100	amy.garcia.871	Singapore International Martial Arts Tournament	2021-05-01	1	0	\N
100	amy.garcia.871	SMU Buddy Programme	2023-05-29	\N	\N	\N
100	amy.garcia.871	starringSMU	2021-06-16	1	0	\N
100	amy.garcia.871	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	1	6
100	amy.garcia.871	World Water Day	2022-01-08	\N	\N	\N
100	amy.henderson.224	Annual Nite Bike	2021-08-19	1	1	4
100	amy.henderson.224	Beach clean-up	2021-01-02	1	0	\N
100	amy.henderson.224	Hands-on workshops	2022-12-09	1	0	\N
100	amy.henderson.224	Helping Hands	2023-02-04	1	0	\N
100	amy.henderson.224	Howl-O-Ween	2021-02-21	\N	\N	\N
100	amy.henderson.224	Kidleidoscope 	2022-01-28	\N	\N	\N
100	amy.henderson.224	Martial Mayhem	2021-12-25	1	0	\N
100	amy.henderson.224	Old But Gold	2023-09-23	1	1	13
100	amy.henderson.224	Singapore International Martial Arts Tournament	2021-05-01	1	1	4
100	amy.henderson.224	SMU Buddy Programme	2023-05-29	1	0	\N
100	amy.henderson.224	SMU Dragon Battle	2021-01-06	1	1	3
100	amy.henderson.224	SMU Host Programme	2021-08-28	1	0	\N
100	amy.henderson.224	SPLASH!	2021-09-24	1	1	12
100	amy.henderson.224	starringSMU	2021-06-16	1	0	\N
100	amy.henderson.224	Vegan Picnic	2023-01-19	1	0	\N
100	amy.henderson.224	World Water Day	2022-01-08	1	1	7
100	ang.hopkins.264	Hands-on workshops	2022-12-09	1	1	14
100	ang.hopkins.264	Old But Gold	2023-09-23	1	0	\N
100	ang.hopkins.264	Paddle to the Bay	2023-07-26	1	1	7
100	ang.hopkins.264	Pendeza	2022-06-22	1	1	11
100	ang.hopkins.264	SMU Buddy Programme	2023-05-29	1	1	3
100	ang.hopkins.264	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	1	1
100	ant.dennis.856	Annual Nite Bike	2021-08-19	\N	\N	\N
100	ant.dennis.856	Annual Pedal x Paddle	2022-04-21	1	0	\N
100	ant.dennis.856	Hands-on workshops	2022-12-09	1	1	6
100	ant.dennis.856	Helping Hands	2023-02-04	1	0	\N
100	ant.dennis.856	Howl-O-Ween	2021-02-21	1	0	\N
100	ant.dennis.856	INSPIRAR	2021-07-25	1	1	12
100	ant.dennis.856	Kidleidoscope 	2022-01-28	1	1	5
100	ant.dennis.856	Martial Mayhem	2021-12-25	\N	\N	\N
100	ant.dennis.856	Old But Gold	2023-09-23	1	1	16
100	ant.dennis.856	Paddle to the Bay	2023-07-26	\N	\N	\N
100	ant.dennis.856	Road Series rideouts	2021-12-25	1	0	\N
100	ant.dennis.856	Singapore International Martial Arts Tournament	2021-05-01	1	1	1
100	ant.dennis.856	SMU Buddy Programme	2023-05-29	1	0	\N
100	ant.dennis.856	Teambuilding at the Beach With Plastic, Trash and Garbage Bags	2022-06-16	1	0	\N
100	ant.dennis.856	World Water Day	2022-01-08	1	0	\N
100	ant.fleming.613	Annual Nite Bike	2021-08-19	1	0	\N
100	ant.fleming.613	Annual Pedal x Paddle	2022-04-21	1	0	\N
