ID	RunID	StartDate	EndDate	NoOfHours
Comms88	1Comms88	2022-04-21	2022-05-21	20
Comms88	2Comms88	2022-04-24	2022-05-24	20
Comms88	3Comms88	2022-05-05	2022-06-04	20
Comms88	4Comms88	2022-05-10	2022-06-09	20
smu012	1smu012	2022-08-30	2022-10-29	64
smu012	2smu012	2022-09-02	2022-11-01	64
smu142	1smu142	2022-01-02	2022-02-01	28
smu142	2smu142	2022-01-07	2022-02-06	28
smu142	3smu142	2022-01-23	2022-02-22	28
smu182	1smu182	2022-10-11	2022-12-10	64
smu182	2smu182	2022-10-15	2022-12-14	64
smu182	3smu182	2022-10-16	2022-12-15	64
smu192	1smu192	2022-08-07	2022-09-06	16
smu192	2smu192	2022-09-05	2022-10-05	16
smu192	3smu192	2022-09-08	2022-10-08	16
smu192	4smu192	2022-09-30	2022-10-30	16
smu242	1smu242	2023-02-24	2023-05-25	96
smu242	2smu242	2023-05-18	2023-08-16	96
smu424	1smu424	2021-08-04	2021-10-03	32
smu424	2smu424	2021-08-19	2021-10-18	32
smu424	3smu424	2021-09-13	2021-11-12	32
smu424	4smu424	2021-10-16	2021-12-15	32
smu424	5smu424	2021-11-24	2022-01-23	32
smu451	1smu451	2022-06-04	2022-09-02	48
smu451	2smu451	2022-06-04	2022-09-02	48
smu460	1smu460	2023-02-17	2023-04-18	40
smu460	2smu460	2023-03-16	2023-05-15	40
smu624	1smu624	2021-11-10	2022-01-09	64
smu624	2smu624	2021-12-24	2022-02-22	64
smu669	1smu669	2021-06-21	2021-09-19	96
smu669	2smu669	2021-07-19	2021-10-17	96
smu669	3smu669	2021-09-11	2021-12-10	96
smu710	1smu710	2022-07-23	2022-09-21	40
smu710	2smu710	2022-08-02	2022-10-01	40
smu710	3smu710	2022-08-16	2022-10-15	40
smu755	1smu755	2022-07-24	2022-08-23	20
smu755	2smu755	2022-08-22	2022-09-21	20
smu756	1smu756	2022-08-18	2022-10-17	40
smu756	2smu756	2022-09-22	2022-11-21	40
smu757	1smu757	2022-11-22	2022-12-22	32
smu757	2smu757	2022-12-14	2023-01-13	32
smu757	3smu757	2022-12-17	2023-01-16	32
smu758	1smu758	2022-10-16	2022-12-15	32
smu810	1smu810	2021-03-24	2021-05-23	40
smu810	2smu810	2021-03-28	2021-05-27	40
smu810	3smu810	2021-05-18	2021-07-17	40
smu810	4smu810	2021-06-27	2021-08-26	40
smu866	1smu866	2021-05-17	2021-07-16	48
smu866	2smu866	2021-06-30	2021-08-29	48
smu866	3smu866	2021-07-11	2021-09-09	48
smu967	1smu967	2021-08-15	2021-09-14	16
smu967	2smu967	2021-08-15	2021-09-14	16
smu967	3smu967	2021-09-02	2021-10-02	16
